111|3
137|3
110|3
114|3
115|3
16|3
1|2
3|2
2|2
36|2
72|2
67|2
65|2
68|2
66|2
81|3
86|3
91|3
90|3
84|3
83|3
97|3
95|3
92|3
82|3
96|3
88|3
89|3
93|3
135|1
27|1
125|1
131|1
134|1
128|1
126|1
136|1
133|1
129|1
132|1
127|1
130|1
117|1
120|1
118|1
123|1
119|1
122|1
124|1
121|1
4|4
98|4
100|4
101|4
6|4
5|4
103|4
99|4
8|4
10|1
77|1
26|1
12|1
13|1
78|1
15|1
14|1
75|1
80|1
76|1
28|1
17|5
53|5
19|5
7|5
59|5
20|5
61|5
21|5
54|5
18|5
55|5
62|5
57|5
56|5
60|5
63|5
64|5
22|6
108|6
106|6
35|6
23|6
105|6
107|6
104|6
29|5
42|5
47|5
30|5
44|5
48|5
24|5
51|5
32|5
52|5
46|5
50|5
39|5
49|5
40|5
43|5
38|5
138|5
31|5
33|5
